"año","sexo","flujo_neto"
1,"Hombres",17825999662.8
2,"Hombres",17415776682.4598
3,"Hombres",16859019223.758
4,"Hombres",16271206705.9481
5,"Hombres",15648680343.9631
6,"Hombres",15116674162.859
7,"Hombres",14568656669.1068
8,"Hombres",13898024146.8299
9,"Hombres",13374747067.1867
10,"Hombres",12693998280.6974
11,"Hombres",12119730196.8844
12,"Hombres",11512859967.7346
13,"Hombres",10870729160.9616
14,"Hombres",10287842276.555
15,"Hombres",9664979268.89936
16,"Hombres",9132015745.23324
17,"Hombres",8536090337.22227
18,"Hombres",8085501857.50024
19,"Hombres",7635097960.18338
20,"Hombres",7163831778.79482
21,"Hombres",6772046172.50938
22,"Hombres",6305348602.2776
23,"Hombres",5852228253.60353
24,"Hombres",5382098000.84844
25,"Hombres",5053231715.60085
26,"Hombres",4640724514.57826
27,"Hombres",4274388523.9529
28,"Hombres",3979368162.94961
29,"Hombres",3664965662.92135
30,"Hombres",3389499129.62512
31,"Hombres",3074215949.93105
32,"Hombres",2756227391.914
33,"Hombres",2500972512.83226
34,"Hombres",2177419976.69584
35,"Hombres",1892160093.22873
36,"Hombres",1612782248.82365
37,"Hombres",1378137150.33986
38,"Hombres",1132780895.3875
39,"Hombres",872474233.269
40,"Hombres",670124907.78354
41,"Hombres",397592156.54485
42,"Hombres",221817158.18102
43,"Hombres",46182540.2477399
44,"Hombres",-129281790.72252
45,"Hombres",-262666307.55119
46,"Hombres",-384440436.84566
47,"Hombres",-513725512.91308
48,"Hombres",-482353641.3835
49,"Hombres",-440111239.67855
50,"Hombres",-399405472.17629
51,"Hombres",-363433066.62661
52,"Hombres",-331689253.04498
53,"Hombres",-289005204.41206
54,"Hombres",-239754886.90512
55,"Hombres",-202536866.57673
56,"Hombres",-157492546.60851
57,"Hombres",-128176653.58989
58,"Hombres",-96906074.54969
59,"Hombres",-68704501.48073
60,"Hombres",-44935023.18608
61,"Hombres",-23672317.41615
62,"Hombres",0
