"año","sexo","flujo_neto"
1,"Hombres",18307022344.64
2,"Hombres",17892324472.2068
3,"Hombres",17321558045.0219
4,"Hombres",16718655119.5778
5,"Hombres",16080385292.8678
6,"Hombres",15534772217.3087
7,"Hombres",14973037792.0538
8,"Hombres",14285875895.5677
9,"Hombres",13750286160.2005
10,"Hombres",13052979834.2226
11,"Hombres",12464754547.9902
12,"Hombres",11842943884.417
13,"Hombres",11185088719.3156
14,"Hombres",10587888620.0945
15,"Hombres",9949787492.84877
16,"Hombres",9403791521.42211
17,"Hombres",8793064387.11678
18,"Hombres",8330517707.05171
19,"Hombres",7867744329.92894
20,"Hombres",7383648254.40722
21,"Hombres",6981085737.43774
22,"Hombres",6501735360.74688
23,"Hombres",6035667906.98227
24,"Hombres",5552703494.64387
25,"Hombres",5214104304.17148
26,"Hombres",4790118448.87909
27,"Hombres",4413453989.80152
28,"Hombres",4109993702.75097
29,"Hombres",3786694913.91188
30,"Hombres",3503149581.22586
31,"Hombres",3178941153.68524
32,"Hombres",2851823619.4032
33,"Hombres",2589145097.67429
34,"Hombres",2256230171.39699
35,"Hombres",1962536189.89202
36,"Hombres",1675188824.24412
37,"Hombres",1433473207.64517
38,"Hombres",1180688982.41
39,"Hombres",912516032.5272
40,"Hombres",704216680.176752
41,"Hombres",423546446.23868
42,"Hombres",242272958.653776
43,"Hombres",61421672.629712
44,"Hombres",-119380748.178976
45,"Hombres",-257121494.488072
46,"Hombres",-382731530.928208
47,"Hombres",-516335356.838304
48,"Hombres",-484747803.0148
49,"Hombres",-442242940.86324
50,"Hombres",-401299245.292952
51,"Hombres",-365105719.188568
52,"Hombres",-333164655.175024
53,"Hombres",-290275942.568528
54,"Hombres",-240815516.489856
55,"Hombres",-203439637.274424
56,"Hombres",-158191172.205288
57,"Hombres",-128736123.876632
58,"Hombres",-97335842.514872
59,"Hombres",-69004904.589624
60,"Hombres",-45129891.160704
61,"Hombres",-23774664.05812
62,"Hombres",0
