"año","sexo","flujo_neto"
1,"Mujeres",17769047587.2
2,"Mujeres",17498277962.7313
3,"Mujeres",16962428346.5506
4,"Mujeres",16488667793.0367
5,"Mujeres",15881897438.5999
6,"Mujeres",15367916032.893
7,"Mujeres",14797700263.7169
8,"Mujeres",14254617350.3555
9,"Mujeres",13713831396.3077
10,"Mujeres",13078800968.064
11,"Mujeres",12561983717.2636
12,"Mujeres",12040925030.163
13,"Mujeres",11453329621.8342
14,"Mujeres",10921763426.1867
15,"Mujeres",10258393628.6701
16,"Mujeres",9758266005.0297
17,"Mujeres",9190455673.70347
18,"Mujeres",8695031084.84611
19,"Mujeres",8246834630.70293
20,"Mujeres",7812174680.98061
21,"Mujeres",7436502878.05493
22,"Mujeres",6981204574.4002
23,"Mujeres",6535831287.61013
24,"Mujeres",6090759249.96448
25,"Mujeres",5679144751.30844
26,"Mujeres",5250088282.14692
27,"Mujeres",4879789998.62499
28,"Mujeres",4563347350.72461
29,"Mujeres",4204431392.68018
30,"Mujeres",3929291754.88112
31,"Mujeres",3590872951.16296
32,"Mujeres",3249709098.48956
33,"Mujeres",2970355472.15766
34,"Mujeres",2627766517.84098
35,"Mujeres",2312831403.81161
36,"Mujeres",1990649205.1466
37,"Mujeres",1802460453.52106
38,"Mujeres",1567761361.13513
39,"Mujeres",1330888238.41935
40,"Mujeres",1112811596.21867
41,"Mujeres",839154712.30277
42,"Mujeres",613862536.83063
43,"Mujeres",379462281.99411
44,"Mujeres",98112093.5934401
45,"Mujeres",-139378202.00162
46,"Mujeres",-333924550.71996
47,"Mujeres",-495930626.99382
48,"Mujeres",-465942097.53794
49,"Mujeres",-436059222.3818
50,"Mujeres",-400185908.19098
51,"Mujeres",-364447162.78528
52,"Mujeres",-345034169.56179
53,"Mujeres",-307519367.02157
54,"Mujeres",-273562024.11068
55,"Mujeres",-244026327.15446
56,"Mujeres",-201696546.40184
57,"Mujeres",-169085552.42489
58,"Mujeres",-133223719.70577
59,"Mujeres",-91481793.60433
60,"Mujeres",-57040598.37821
61,"Mujeres",-26719824.79646
62,"Mujeres",0
