"año","sexo","flujo_neto"
1,"Mujeres",18248533455.36
2,"Mujeres",17974300685.4294
3,"Mujeres",17424835406.6378
4,"Mujeres",16939132746.9434
5,"Mujeres",16316881134.7332
6,"Mujeres",15789711665.8099
7,"Mujeres",15204909603.4952
8,"Mujeres",14648361389.6904
9,"Mujeres",14094123423.8843
10,"Mujeres",13443374408.6812
11,"Mujeres",12913833485.6951
12,"Mujeres",12379927202.5859
13,"Mujeres",11777743905.288
14,"Mujeres",11232949148.611
15,"Mujeres",10552798610.4114
16,"Mujeres",10040285499.1494
17,"Mujeres",9458170292.59934
18,"Mujeres",8949829367.80017
19,"Mujeres",8489775756.83298
20,"Mujeres",8043563033.66377
21,"Mujeres",7657861119.61058
22,"Mujeres",7190201514.92976
23,"Mujeres",6732686445.10434
24,"Mujeres",6275455064.34662
25,"Mujeres",5852347777.09187
26,"Mujeres",5411512702.0897
27,"Mujeres",5031049588.68951
28,"Mujeres",4705858441.17097
29,"Mujeres",4337138388.57278
30,"Mujeres",4053988569.71866
31,"Mujeres",3706289562.91245
32,"Mujeres",3355424051.05053
33,"Mujeres",3067991906.15381
34,"Mujeres",2715719693.21982
35,"Mujeres",2391899458.81657
36,"Mujeres",2060753329.75408
37,"Mujeres",1866917088.08773
38,"Mujeres",1625385358.12434
39,"Mujeres",1381637056.21428
40,"Mujeres",1157111910.5411
41,"Mujeres",875517831.545176
42,"Mujeres",643587087.564744
43,"Mujeres",402288996.622568
44,"Mujeres",112734365.599872
45,"Mujeres",-131669269.699056
46,"Mujeres",-332082318.294048
47,"Mujeres",-499160425.518416
48,"Mujeres",-468923342.591472
49,"Mujeres",-438749890.03184
50,"Mujeres",-402606292.299824
51,"Mujeres",-366597966.801664
52,"Mujeres",-347006823.205352
53,"Mujeres",-309281696.622616
54,"Mujeres",-275116092.881184
55,"Mujeres",-245387182.797648
56,"Mujeres",-202823899.049792
57,"Mujeres",-170019522.024632
58,"Mujeres",-133959655.811576
59,"Mujeres",-91985895.821304
60,"Mujeres",-57350192.266648
61,"Mujeres",-26863349.727248
62,"Mujeres",0
