"año","sexo","flujo_neto"
1,"Mujeres",15972273907.2
2,"Mujeres",15714481700.8978
3,"Mujeres",15229653951.7613
4,"Mujeres",14800643960.243
5,"Mujeres",14251886403.1534
6,"Mujeres",13787324524.5923
7,"Mujeres",13271767858.7192
8,"Mujeres",12779143361.417
9,"Mujeres",12288766026.8409
10,"Mujeres",11712637737.765
11,"Mujeres",11243499805.1979
12,"Mujeres",10770584815.1123
13,"Mujeres",10237654490.1297
14,"Mujeres",9755659578.7692
15,"Mujeres",9155172120.84236
16,"Mujeres",8701456539.0372
17,"Mujeres",8187250755.84172
18,"Mujeres",7740227452.61836
19,"Mujeres",7336463230.40468
20,"Mujeres",6945094899.14036
21,"Mujeres",6607008853.95668
22,"Mujeres",6198031957.8952
23,"Mujeres",5798157480.63188
24,"Mujeres",5398650055.25248
25,"Mujeres",5030102394.29744
26,"Mujeres",4645183803.57392
27,"Mujeres",4312976108.32524
28,"Mujeres",4029316645.28436
29,"Mujeres",3707139494.82568
30,"Mujeres",3462016346.45312
31,"Mujeres",3158373175.88896
32,"Mujeres",2853564275.55056
33,"Mujeres",2604483219.26616
34,"Mujeres",2298180264.96648
35,"Mujeres",2016540293.69636
36,"Mujeres",1727948561.9816
37,"Mujeres",1560922606.04456
38,"Mujeres",1351827403.53188
39,"Mujeres",1140717586.5606
40,"Mujeres",946805371.47692
41,"Mujeres",702891477.20852
42,"Mujeres",502475958.08988
43,"Mujeres",293923911.06636
44,"Mujeres",43318166.9574399
45,"Mujeres",-168265824.31112
46,"Mujeres",-340827934.02096
47,"Mujeres",-483827627.99832
48,"Mujeres",-454770501.03944
49,"Mujeres",-425976504.3368
50,"Mujeres",-391116021.56648
51,"Mujeres",-356387471.55328
52,"Mujeres",-337642059.84204
53,"Mujeres",-300915402.95732
54,"Mujeres",-267738474.24368
55,"Mujeres",-238926803.34296
56,"Mujeres",-197472026.55584
57,"Mujeres",-165585695.37764
58,"Mujeres",-130465952.03652
59,"Mujeres",-89592775.27108
60,"Mujeres",-55880459.59796
61,"Mujeres",-26181994.93496
62,"Mujeres",0
