"año","sexo","estado","poblacion_promedio"
1,"hombres","saludable",2504
1,"hombres","enfermo",0
1,"hombres","enfermo_grave",0
1,"hombres","muerto",0
1,"mujeres","saludable",2496
1,"mujeres","enfermo",0
1,"mujeres","enfermo_grave",0
1,"mujeres","muerto",0
2,"hombres","saludable",2453.485
2,"hombres","enfermo",34.4428
2,"hombres","enfermo_grave",8.6464
2,"hombres","muerto",7.4258
2,"mujeres","saludable",2455.4528
2,"mujeres","enfermo",27.9446
2,"mujeres","enfermo_grave",8.569
2,"mujeres","muerto",4.0336
3,"hombres","saludable",2403.7502
3,"hombres","enfermo",67.5272
3,"hombres","enfermo_grave",17.1982
3,"hombres","muerto",8.0986
3,"mujeres","saludable",2415.3294
3,"mujeres","enfermo",55.088
3,"mujeres","enfermo_grave",17.0654
3,"mujeres","muerto",4.4836
4,"hombres","saludable",2355.8718
4,"hombres","enfermo",98.7474
4,"hombres","enfermo_grave",25.3438
4,"hombres","muerto",8.5126
4,"mujeres","saludable",2376.0916
4,"mujeres","enfermo",81.0606
4,"mujeres","enfermo_grave",25.394
4,"mujeres","muerto",4.9366
5,"hombres","saludable",2308.4812
5,"hombres","enfermo",128.6456
5,"hombres","enfermo_grave",33.5424
5,"hombres","muerto",9.2938
5,"mujeres","saludable",2337.4468
5,"mujeres","enfermo",106.0976
5,"mujeres","enfermo_grave",33.501
5,"mujeres","muerto",5.5008
6,"hombres","saludable",2262.5092
6,"hombres","enfermo",157.025
6,"hombres","enfermo_grave",41.413
6,"hombres","muerto",9.722
6,"mujeres","saludable",2299.5874
6,"mujeres","enfermo",130.2646
6,"mujeres","enfermo_grave",41.3934
6,"mujeres","muerto",5.8
7,"hombres","saludable",2216.7296
7,"hombres","enfermo",184.4598
7,"hombres","enfermo_grave",49.1458
7,"hombres","muerto",10.612
7,"mujeres","saludable",2262.3196
7,"mujeres","enfermo",153.4586
7,"mujeres","enfermo_grave",49.197
7,"mujeres","muerto",6.2702
8,"hombres","saludable",2169.877
8,"hombres","enfermo",211.3858
8,"hombres","enfermo_grave",57.0082
8,"hombres","muerto",12.0642
8,"mujeres","saludable",2224.2362
8,"mujeres","enfermo",176.3348
8,"mujeres","enfermo_grave",57.1332
8,"mujeres","muerto",7.271
9,"hombres","saludable",2122.0652
9,"hombres","enfermo",237.5612
9,"hombres","enfermo_grave",64.705
9,"hombres","muerto",13.9396
9,"mujeres","saludable",2185.4708
9,"mujeres","enfermo",198.8418
9,"mujeres","enfermo_grave",65.2124
9,"mujeres","muerto",8.1792
10,"hombres","saludable",2073.1444
10,"hombres","enfermo",263.0264
10,"hombres","enfermo_grave",72.3092
10,"hombres","muerto",15.8514
10,"mujeres","saludable",2145.1976
10,"mujeres","enfermo",221.3924
10,"mujeres","enfermo_grave",73.4566
10,"mujeres","muerto",9.4784
11,"hombres","saludable",2023.9306
11,"hombres","enfermo",287.2962
11,"hombres","enfermo_grave",79.831
11,"hombres","muerto",17.4222
11,"mujeres","saludable",2104.4404
11,"mujeres","enfermo",243.3856
11,"mujeres","enfermo_grave",81.6952
11,"mujeres","muerto",10.5254
12,"hombres","saludable",1974.2822
12,"hombres","enfermo",310.6276
12,"hombres","enfermo_grave",87.2836
12,"hombres","muerto",18.8644
12,"mujeres","saludable",2063.1848
12,"mujeres","enfermo",264.8358
12,"mujeres","enfermo_grave",89.883
12,"mujeres","muerto",11.6176
13,"hombres","saludable",1924.0874
13,"hombres","enfermo",332.9296
13,"hombres","enfermo_grave",94.628
13,"hombres","muerto",20.5484
13,"mujeres","saludable",2021.8246
13,"mujeres","enfermo",285.1288
